COUNTRY,REGION,START_DATE,ISO_CODE
Antarctica,Antarctica,44197,10
Anguilla,Caribbean,43101,660
Antigua and Barbuda,Caribbean,43101,28
Aruba,Caribbean,43101,533
Bahamas,Caribbean,43101,44
Barbados,Caribbean,43101,52
Bermuda,Caribbean,43101,60
British Virgin Islands,Caribbean,43101,92
Cayman Islands,Caribbean,43101,136
Cuba,Caribbean,43101,192
Curacao,Caribbean,43101,531
Dominica,Caribbean,43101,212
Dominican Republic,Caribbean,43101,214
Grenada,Caribbean,43101,308
Guadeloupe,Caribbean,43101,312
Haiti,Caribbean,43101,332
Jamaica,Caribbean,43101,388
Martinique,Caribbean,43101,474
Montserrat,Caribbean,43101,500
Puerto Rico,Caribbean,43101,630
Saint-Barthelemy,Caribbean,43101,652
Saint Kitts and Nevis,Caribbean,43101,659
Saint Lucia,Caribbean,43101,662
Saint Vincent and Grenadines,Caribbean,43101,670
Saint-Martin,Caribbean,43101,663
Caribbean Netherlands,Caribbean,43101,535
Sint Maarten,Caribbean,43101,534
Trinidad and Tobago,Caribbean,43101,780
Turks and Caicos Islands,Caribbean,43101,796
"Virgin Islands, U.S.",Caribbean,43101,850
Afghanistan,Caucasus and Central Asia,42736,4
Armenia,Caucasus and Central Asia,43101,51
Azerbaijan,Caucasus and Central Asia,43101,31
Georgia,Caucasus and Central Asia,43101,268
Kazakhstan,Caucasus and Central Asia,43101,398
Kyrgyzstan,Caucasus and Central Asia,43101,417
Tajikistan,Caucasus and Central Asia,43101,762
Turkmenistan,Caucasus and Central Asia,43101,795
Uzbekistan,Caucasus and Central Asia,43101,860
Belize,Central America,43101,84
Costa Rica,Central America,43101,188
El Salvador,Central America,43101,222
Guatemala,Central America,43101,320
Honduras,Central America,43101,340
Nicaragua,Central America,43101,558
Panama,Central America,43101,591
China,East Asia,43101,156
Japan,East Asia,43101,392
Mongolia,East Asia,43101,496
North Korea,East Asia,43101,408
South Korea,East Asia,43101,410
Taiwan,East Asia,43101,158
Burundi,Eastern Africa,35431,108
Djibouti,Eastern Africa,35431,262
Eritrea,Eastern Africa,35431,232
Ethiopia,Eastern Africa,35431,231
Kenya,Eastern Africa,35431,404
Madagascar,Eastern Africa,35431,450
Malawi,Eastern Africa,35431,454
Mozambique,Eastern Africa,35431,508
Rwanda,Eastern Africa,35431,646
Somalia,Eastern Africa,35431,706
South Sudan,Eastern Africa,40544,728
Tanzania,Eastern Africa,35431,834
Uganda,Eastern Africa,35431,800
British Indian Ocean Territory,Eastern Africa,43101,86
Comoros,Eastern Africa,43831,174
Mauritius,Eastern Africa,43831,480
Mayotte,Eastern Africa,43831,175
Reunion,Eastern Africa,43831,638
Seychelles,Eastern Africa,43831,690
Albania,Europe,43101,8
Belarus,Europe,43101,112
Bosnia and Herzegovina,Europe,43101,70
Bulgaria,Europe,43101,100
Croatia,Europe,43101,191
Cyprus,Europe,43101,196
Greece,Europe,43101,300
Kosovo,Europe,43101,0
Moldova,Europe,43101,498
Montenegro,Europe,43101,499
North Macedonia,Europe,43101,807
Romania,Europe,43101,642
Russia,Europe,43101,643
Serbia,Europe,43101,688
Ukraine,Europe,43101,804
Andorra,Europe,43831,20
Austria,Europe,43831,40
Bailiwick of Guernsey,Europe,43831,831
Bailiwick of Jersey,Europe,43831,832
Belgium,Europe,43831,56
Czech Republic,Europe,43831,203
Denmark,Europe,43831,208
Estonia,Europe,43831,233
Faroe Islands,Europe,43831,234
Finland,Europe,43831,246
France,Europe,43831,250
Germany,Europe,43831,276
Gibraltar,Europe,43831,292
Greenland,Europe,43831,304
Hungary,Europe,43831,348
Iceland,Europe,43831,352
Ireland,Europe,43831,372
Isle of Man,Europe,43831,833
Italy,Europe,43831,380
Latvia,Europe,43831,428
Liechtenstein,Europe,43831,438
Lithuania,Europe,43831,440
Luxembourg,Europe,43831,442
Malta,Europe,43831,470
Monaco,Europe,43831,492
Netherlands,Europe,43831,528
Norway,Europe,43831,578
Poland,Europe,43831,616
Portugal,Europe,43831,620
San Marino,Europe,43831,674
Slovakia,Europe,43831,703
Slovenia,Europe,43831,705
Spain,Europe,43831,724
Sweden,Europe,43831,752
Switzerland,Europe,43831,756
United Kingdom,Europe,43831,826
Vatican City,Europe,43831,336
Angola,Middle Africa,35431,24
Cameroon,Middle Africa,35431,120
Central African Republic,Middle Africa,35431,140
Chad,Middle Africa,35431,148
Democratic Republic of Congo,Middle Africa,35431,180
Equatorial Guinea,Middle Africa,35431,226
Gabon,Middle Africa,35431,266
Republic of Congo,Middle Africa,35431,178
Sao Tome and Principe,Middle Africa,43831,678
Bahrain,Middle East,42370,48
Iran,Middle East,42370,364
Iraq,Middle East,42370,368
Israel,Middle East,42370,376
Jordan,Middle East,42370,400
Kuwait,Middle East,42370,414
